spec,subsample,release_round,indicator,prob
"GIGG-SV-trend (QR)",Full,1,BCI_MANUF,0.371986486486487
"GIGG-SV-trend (QR)",Full,2,BCI_MANUF,0.963864864864864
"GIGG-SV-trend (QR)",Full,3,BCI_MANUF,0.974986486486486
"GIGG-SV-trend (QR)",Full,4,BCI_MANUF,0.916
"GIGG-SV-trend (QR)",Full,5,BCI_MANUF,0.89327027027027
"GIGG-SV-trend (QR)",Full,6,BCI_MANUF,0.893513513513513
"GIGG-SV-trend (QR)",Full,7,BCI_MANUF,0.906567567567568
"GIGG-SV-trend (QR)",Full,8,BCI_MANUF,0.896135135135135
"GIGG-SV-trend (QR)",Full,9,BCI_MANUF,0.895013513513513
"GIGG-SV-trend (QR)",Full,10,BCI_MANUF,0.90222972972973
"GIGG-SV-trend (QR)",Full,11,BCI_MANUF,0.868297297297297
"GIGG-SV-trend (QR)",Full,12,BCI_MANUF,0.891824324324325
"GIGG-SV-trend (QR)",Full,13,BCI_MANUF,0.872121621621621
"GIGG-SV-trend (QR)",Full,14,BCI_MANUF,0.856162162162162
"GIGG-SV-trend (QR)",Full,15,BCI_MANUF,0.81595945945946
"GIGG-SV-trend (QR)",Full,1,BCI_CONSTR,0.539864864864865
"GIGG-SV-trend (QR)",Full,2,BCI_CONSTR,0.785229729729729
"GIGG-SV-trend (QR)",Full,3,BCI_CONSTR,0.805648648648649
"GIGG-SV-trend (QR)",Full,4,BCI_CONSTR,0.788608108108108
"GIGG-SV-trend (QR)",Full,5,BCI_CONSTR,0.784689189189189
"GIGG-SV-trend (QR)",Full,6,BCI_CONSTR,0.767743243243243
"GIGG-SV-trend (QR)",Full,7,BCI_CONSTR,0.805486486486486
"GIGG-SV-trend (QR)",Full,8,BCI_CONSTR,0.816662162162162
"GIGG-SV-trend (QR)",Full,9,BCI_CONSTR,0.847918918918919
"GIGG-SV-trend (QR)",Full,10,BCI_CONSTR,0.912635135135135
"GIGG-SV-trend (QR)",Full,11,BCI_CONSTR,0.866283783783784
"GIGG-SV-trend (QR)",Full,12,BCI_CONSTR,0.738283783783784
"GIGG-SV-trend (QR)",Full,13,BCI_CONSTR,0.787567567567568
"GIGG-SV-trend (QR)",Full,14,BCI_CONSTR,0.700621621621622
"GIGG-SV-trend (QR)",Full,15,BCI_CONSTR,0.639108108108108
"GIGG-SV-trend (QR)",Full,1,BCI_RETAIL,0.532081081081081
"GIGG-SV-trend (QR)",Full,2,BCI_RETAIL,0.790743243243243
"GIGG-SV-trend (QR)",Full,3,BCI_RETAIL,0.761513513513513
"GIGG-SV-trend (QR)",Full,4,BCI_RETAIL,0.776635135135135
