spec,quarter,release_round,outturn,mean,q05,q10,q16,q25,q50,q75,q84,q90,q95
"DFM",01-Sep-2026,15,NaN,0.977846157482685,-0.633839998938634,-0.236129517957376,0.0216081850404227,0.32305263830926,0.994910785306196,1.60483811774122,1.93509416894839,2.28550019342386,2.59548340101453
"DFM (no COVID factor)",01-Sep-2026,15,NaN,0.949859236464751,-0.874469704667744,-0.5333879973361,-0.13110368819426,0.229717320125444,1.00891237244458,1.63845577971805,2.04858480193019,2.27756451923459,2.72692643295209
"GIGG-SV-trend (QR)",30-Sep-2026,1,NaN,0.258546820090315,-1.42577124223171,-0.800085443114229,-0.513827439667724,-0.231587820493509,0.259872438361508,0.655999786385741,0.843601205541128,1.08934958152891,1.71155943112423
"GIGG-SV-trend",30-Sep-2026,1,NaN,0.414502400581337,-0.930221096588204,-0.485155929779699,-0.258246862602074,-0.0283308148954346,0.439674536966367,0.832260401298569,1.08807157535728,1.32831005020354,1.76929810244662
"GIGG fixed-SV",30-Sep-2026,1,NaN,0.259819697379175,-1.64136598832279,-0.916408656418286,-0.585059823344991,-0.278139991009654,0.294536666700138,0.883823111806168,1.24656440915779,1.50076129987953,1.89403482380145
"GIGG fixed-SV, no QR",30-Sep-2026,1,NaN,0.228145921393943,-1.75226696285998,-1.18669238566274,-0.83133956711898,-0.459790322354175,0.240660384512179,0.897035955927656,1.26931873421243,1.65757344420782,2.1981597659881
"U-MIDAS (QR)",30-Sep-2026,1,NaN,0.937786907101666,-0.853257627244027,-0.3023668192142,0.037632667118124,0.331599952340563,0.914454011167855,1.48793654981072,1.83085076959474,2.14231201722972,2.73463282592413
"GIGG-SV",30-Sep-2026,1,NaN,0.505655327570084,-0.420395158933621,-0.165575040697285,0.021340883088702,0.162524315466112,0.476438644023053,0.790423079999152,0.932974328209179,1.16724128239323,1.58300838339533
"GIGG-SV, 12 lags",30-Sep-2026,1,NaN,0.865039986667222,-0.0969347378572721,0.116443024739756,0.332570411671984,0.503605346930523,0.851523227140185,1.20085967615047,1.39124539064949,1.55655479807737,1.80621818486025
"PCA-MIDAS (obs SV)",30-Sep-2026,1,NaN,0.394017421999264,-1.05154633426564,-0.449148827263655,-0.235506784756531,-0.0170711434469353,0.383589235667007,0.760164972039548,0.997825264802168,1.22847944278721,1.54996153667476
"GIGG (QR)",30-Sep-2026,1,NaN,0.681281487118534,-2.15401558744237,-1.61417269283794,-1.18050627419038,-0.671341532651734,0.709457521271035,1.93050249530818,2.55855960669784,3.0713419294341,3.64808158652367
"GIGG",30-Sep-2026,1,NaN,0.322260431028168,-2.48657598397832,-1.88041814120715,-1.48391855412347,-0.936403831090966,0.180142402468829,1.6396050866147,2.3398305254325,2.75393959218004,3.27528761267698
"PCA-MIDAS",30-Sep-2026,1,NaN,0.352128068788439,-2.89531260960861,-2.13237569625133,-1.65395250161783,-0.907056660289013,0.258711826298835,1.6684414186415,2.29514820967537,2.81752086779451,3.83808536740599
"GIGG-SV (+financial)",30-Sep-2026,1,NaN,0.547205859928319,-0.646303706513072,-0.204885397449678,-0.0153147935585158,0.211880815441257,0.493007734733936,0.848701221342611,1.01442714361755,1.39746561566262,1.82223080686198
"GIGG-SV, 12 lags (+financial)",30-Sep-2026,1,NaN,1.01666616661096,-0.259279774913311,0.0587359885376171,0.385761884202591,0.544589948640879,1.00736745944981,1.48885625971705,1.77850317129606,2.05695634988479,2.33996700759738
"GIGG (+financial)",30-Sep-2026,1,NaN,0.554323040834626,-2.65172412845685,-2.1139545694184,-1.21863341732671,-0.677447544214371,0.687142450203534,1.70725902246238,2.4717675189311,2.93598363378772,3.6181154849762
"GIGG-SV (+fin/foreign)",30-Sep-2026,1,NaN,0.490034819494594,-0.392835201143214,-0.134548723541177,0.10866781722655,0.268843923643579,0.499162713571547,0.818017844475021,0.93749940813846,1.04577471151283,1.28753413341512
"GIGG-SV, 12 lags (+fin/foreign)",30-Sep-2026,1,NaN,0.950309452459205,-0.317610762104281,0.164156178798,0.380211863158996,0.595546922548104,0.91133514021216,1.3154501929253,1.52561456350042,1.71354352725626,2.11848211478354
"GIGG-SV (+foreign)",30-Sep-2026,1,NaN,0.310763705050718,-0.905536698747977,-0.460072469610154,-0.229366822760745,-0.0197887137835231,0.336448183504754,0.725175061340136,0.87744731142499,1.04416371024482,1.35383980312385
"GIGG-SV, 12 lags (+foreign)",30-Sep-2026,1,NaN,0.92106610760922,-0.575117468452694,-0.127744538884389,0.225262260251692,0.458302335730746,0.812120957276577,1.28142438973972,1.59048234263794,1.88237783329485,2.34120420580041
"GIGG-SV (+trade/orders)",30-Sep-2026,1,NaN,0.46309300510181,-0.655046369506213,-0.26559318127009,-0.116052514189991,0.109060856560409,0.513227091837617,0.837083443361249,1.02331299007859,1.25712096033101,1.44430666926753
"GIGG (+trade/orders)",30-Sep-2026,1,NaN,0.719506547938707,-2.10051979574002,-1.55806446590401,-1.09642489731068,-0.404107821474558,0.716355146931506,2.10415387803529,2.66093139514893,2.95462558268358,3.4379894279055
