indicator,pubdelay,pubseq,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15
BCI_MANUF,0,1,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
BCI_CONSTR,0,1,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
BCI_RETAIL,0,1,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
CCI,0,1,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
CONS_PRICE_EXP,0,1,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
IP,-2,5,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5
TOURISTS,-2,5,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5
CPI,-1,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,6
PPI,-1,4,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6
ELEC_PROD,-1,4,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6
HEAT_PROD,-1,4,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6
