spec,subsample,n_quarters,rmsfe,crps,wqs
"DFM",Full,71,2.04334510582678,0.929205959104097,0.390713594295706
"DFM",GFC,7,4.47023653017893,3.11139458228323,1.40284764048876
"DFM",Tranquil,40,0.857874389315051,0.511515599159861,0.205191447000343
"DFM",Pandemic,24,1.74550014007193,0.988884877250575,0.404711409648336
"DFM",Pre,47,2.19656275344965,0.898731617922916,0.383565773690107
"DFM (no COVID factor)",Full,71,1.97886592848646,0.889558300737078,0.376605618491063
"DFM (no COVID factor)",GFC,7,4.41754668596721,3.07330169460455,1.38666176984812
"DFM (no COVID factor)",Tranquil,40,0.823260574926565,0.506663347730192,0.20646030685487
"DFM (no COVID factor)",Pandemic,24,1.57949223886981,0.890791399203874,0.365581427072245
"DFM (no COVID factor)",Pre,47,2.16752264507367,0.888928633434884,0.382234992832587
"GIGG-SV-trend (QR)",Full,71,2.0965333832764,1.3411843185794,0.404104080554461
"GIGG-SV-trend (QR)",GFC,7,4.59063876257384,2.99033569352305,1.11354926705731
"GIGG-SV-trend (QR)",Tranquil,40,1.02865570094089,0.840950404387167,0.22811797657718
"GIGG-SV-trend (QR)",Pandemic,24,2.42435217152103,1.69390502454121,0.490492741119933
"GIGG-SV-trend (QR)",Pre,47,1.92740804086704,1.16107161766272,0.359990721967838
"GIGG-SV-trend",Full,71,1.90799048913597,1.16325975981301,0.367602778968305
"GIGG-SV-trend",GFC,7,4.74972487254482,3.11754694880398,1.14008503295105
"GIGG-SV-trend",Tranquil,40,0.922755273824205,0.744354039463374,0.210242373167821
"GIGG-SV-trend",Pandemic,24,1.89611334992629,1.29143553027337,0.40456279789081
"GIGG-SV-trend",Pre,47,1.92504131749801,1.09780830255666,0.348729577816387
"GIGG fixed-SV",Full,71,2.3133253253969,1.59310256320223,0.440045977564851
"GIGG fixed-SV",GFC,7,4.86004384120923,3.246197431777,1.15945312798411
"GIGG fixed-SV",Tranquil,40,1.10974553886,1.09394570605225,0.257808443750205
"GIGG fixed-SV",Pandemic,24,2.77180270608113,1.94287798845123,0.533948115050309
"GIGG fixed-SV",Pre,47,2.05914602444481,1.41449383541551,0.392095949912702
"GIGG fixed-SV, no QR",Full,71,2.0074804121233,1.35916910659032,0.389987285365292
"GIGG fixed-SV, no QR",GFC,7,5.03813586953692,3.21118834879845,1.18751160637374
"GIGG fixed-SV, no QR",Tranquil,40,0.976299242222522,0.993321031740516,0.23586259267349
"GIGG fixed-SV, no QR",Pandemic,24,1.95422570113571,1.42874361902928,0.414250512890831
"GIGG fixed-SV, no QR",Pre,47,2.04280897581549,1.32364169598319,0.377597552160761
"U-MIDAS (QR)",Full,71,2.39485805400803,1.70016907286365,0.464308114623103
"U-MIDAS (QR)",GFC,7,5.4813455013157,3.55657754750469,1.26332646204903
"U-MIDAS (QR)",Tranquil,40,1.30219566305948,1.23265877746447,0.29562615503321
"U-MIDAS (QR)",Pandemic,24,2.56965898209447,1.93790042675864,0.512397695940363
"U-MIDAS (QR)",Pre,47,2.32455341789502,1.57877433895982,0.439751732673864
"GIGG-SV",Full,71,1.93919021603105,0.999936105813148,0.35775221810217
"GIGG-SV",GFC,7,4.53408008184335,2.828721080009,1.22791579246577
"GIGG-SV",Tranquil,40,0.855326952622883,0.611283844338324,0.192592796486905
"GIGG-SV",Pandemic,24,1.7866766194355,1.11429425746406,0.379220211604893
"GIGG-SV",Pre,47,2.0255808384725,0.941540453906297,0.346789838441205
"GIGG-SV, 12 lags",Full,71,1.98667663428133,1.04216931125559,0.365332799347058
"GIGG-SV, 12 lags",GFC,7,4.68250824357741,2.88093515349301,1.24347105394088
"GIGG-SV, 12 lags",Tranquil,40,0.867012203719301,0.644242252872081,0.197003942215057
"GIGG-SV, 12 lags",Pandemic,24,1.8852877292394,1.16907437124219,0.389757236977194
"GIGG-SV, 12 lags",Pre,47,2.0495373272191,0.977366727432645,0.352860746089117
"PCA-MIDAS (obs SV)",Full,71,2.16702970899308,1.05711741753726,0.388026340600249
"PCA-MIDAS (obs SV)",GFC,7,4.88986353978301,2.89490999553637,1.23547858691544
"PCA-MIDAS (obs SV)",Tranquil,40,1.00781692757689,0.646179609232301,0.21130387000947
"PCA-MIDAS (obs SV)",Pandemic,24,2.15976536222565,1.20599092946244,0.435390219742951
"PCA-MIDAS (obs SV)",Pre,47,2.18782703608646,0.981096900809502,0.363840529974188
"MS",Full,71,2.02052798892225,1.12277252086649,0.410845166282063
"MS",GFC,7,4.38652340482186,2.50278686309414,1.07501427623417
