series,unit,source,table,label
BAR_BCI_CONSTR,pct_balance,statee,BAR02,"Construction confidence indicator, Statistics Estonia, unadjusted"
BAR_BCI_MANUF,pct_balance,statee,BAR03,"Industrial confidence indicator, Statistics Estonia, unadjusted"
BAR_BCI_RETAIL,pct_balance,statee,BAR04,"Retail confidence indicator, Statistics Estonia, unadjusted"
BAR_BCI_SERV,pct_balance,statee,BAR05,"Services confidence indicator, Statistics Estonia, unadjusted"
BAR_CCI,pct_balance,statee,BAR01,"Consumer confidence indicator, Statistics Estonia, unadjusted"
BAR_CONS_PRICE_EXP,pct_balance,statee,BAR01,"Consumer price expectations, next 12 months, Statistics Estonia, unadjusted"
BCI_CONSTR,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Business confidence, construction, percentage balance"
BCI_IDX,index,oecd,"OECD.SDD.STES,DSD_STES@DF_CLI,4.1","OECD harmonised business confidence indicator, amplitude adjusted, index"
BCI_MANUF,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Business confidence, manufacturing, percentage balance"
BCI_RETAIL,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Business confidence, retail trade, percentage balance"
BCI_SERV,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Business confidence, services, percentage balance"
CCI,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0","Consumer confidence, percentage balance"
CCI_IDX,index,oecd,"OECD.SDD.STES,DSD_STES@DF_CLI,4.1","OECD harmonised consumer confidence indicator, amplitude adjusted, index"
CONS_ECON_SIT,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0","Consumer expectations of the economic situation, percentage balance"
CONS_PRICE_EXP,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0","Consumer price expectations, percentage balance"
CPI,index_1997,statee,IA002,"Consumer price index, total, 1997=100"
CPI_HOUSING,index_1997,statee,IA002,"Consumer price index, housing (incl. utilities and heating), 1997=100"
CPI_TRANSPORT,index_1997,statee,IA002,"Consumer price index, transport (incl. motor fuel), 1997=100"
DEBT,eur_million,statee,RR059,"General government (S.13) consolidated gross debt at nominal value, million euros"
EA10Y,pct_pa,ecb,FM,"Euro area 10-year government benchmark bond yield, % p.a."
ELEC_PROD,gwh,statee,KE20,"Production of electricity, GWh"
EMPL,percent,statee,TT3300,"Employment rate, 15+, both sexes, %"
EM_MANUF,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Employment expectations, manufacturing, percentage balance"
EURIBOR3M,pct_pa,ecb,FM,"3-month Euribor, monthly average, % p.a."
EURUSD,usd_per_eur,ecb,EXR,"US dollar / euro exchange rate, monthly average"
EXPORTS,eur,statee,VKK12,"Exports of goods, all partner countries, euros"
EXP_SHARE_DE,pct,statee,VKK12,"Germany's share of Estonian goods exports, %"
EXP_SHARE_FI,pct,statee,VKK12,"Finland's share of Estonian goods exports, %"
EXP_SHARE_LV,pct,statee,VKK12,"Latvia's share of Estonian goods exports, %"
EXP_SHARE_SE,pct,statee,VKK12,"Sweden's share of Estonian goods exports, %"
GDP,eur_million,statee,RAA0012,"GDP, chain-linked volume (reference year 2020), seasonally and working-day adjusted, million euros"
GDP_FLASH,percent,statee,RAA0015,"GDP flash estimate, chain-linked volume, change vs same quarter of previous year, seasonally and working-day adjusted, %"
HEAT_PROD,gwh,statee,KE20,"Production of heat, GWh"
IMPORTS,eur,statee,VKK12,"Imports of goods, all partner countries, euros"
IP,index_2021,statee,TO0053,"Volume index of industrial production (B-D), calendar and seasonally adjusted, 2021=100"
LEND_RATE_EE,pct_pa,ecb,MIR,"Estonian MFI lending rate to non-financial corporations, new business, % p.a."
OB_MANUF,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Order books, manufacturing, percentage balance"
PART,percent,statee,TT3300,"Labour force participation rate, 15+, both sexes, %"
PPI,index_2010,statee,IA039,"Producer price index of industrial output, total, 2010=100"
SERV_PROD,index_2021,statee,TE011,"Index of services production, business economy excl. trade and finance, 2021=100"
SERV_TURNOVER,index_2021,statee,TE011,"Turnover in services (value), business economy excl. trade and finance, 2021=100"
SP_CONSTR,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Selling price expectations, construction, percentage balance"
SP_MANUF,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Selling price expectations, manufacturing, percentage balance"
STOXX,index,ecb,FM,"Dow Jones EURO STOXX 50 price index, monthly average"
TOURISTS,persons,statee,TU121,"Accommodated tourists, total"
TOURISTS_NONRES,persons,statee,TU121,"Accommodated tourists, non-residents"
UR,percent,statee,TT3300,"Unemployment rate, 15+, both sexes, %"
VAC,count,statee,PAV011,"Number of job vacancies, all activities"
VAC_RATE,percent,statee,PAV011,"Job vacancy rate, all activities, %"
XR_MANUF,pct_balance,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0","Export order books, manufacturing, percentage balance"
