series,source,table,query,freq,n_obs,first_obs,last_obs,n_missing,max_lag_periods,published,vintage,retrieved_at,response_sha256
BAR_BCI_CONSTR,statee,BAR02,queries/BAR02_CONSTR.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:33:00,2026-08-26,2026-08-26T08:44:53,60a7f19fe29e11fe946390ff59b66df54738cda0476eb49635761aaa43683f12
BAR_BCI_MANUF,statee,BAR03,queries/BAR03_INDUSTRY.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:33:00,2026-08-26,2026-08-26T08:44:53,795c228bcf51decc7d1ed9c9aee054e38f6e3f432f4b9ac8d62b573f527f6c3c
BAR_BCI_RETAIL,statee,BAR04,queries/BAR04_RETAIL.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:34:00,2026-08-26,2026-08-26T08:44:53,2c3a72696c048db923f6d09c13d59b03e0b0866a5834870138e82d37f4510150
BAR_BCI_SERV,statee,BAR05,queries/BAR05_SERVICES.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:34:00,2026-08-26,2026-08-26T08:44:53,1c31df30c44668655de38e2226373f6f760b9eb2cdc72c80019f35bc4bc9963d
BAR_CCI,statee,BAR01,queries/BAR01_CONSUMER.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:33:00,2026-08-26,2026-08-26T08:44:53,dd2dd33863d22ad32f0eac42b6f124ced482478969ce0af35aa5571ad0d1339c
BAR_CONS_PRICE_EXP,statee,BAR01,queries/BAR01_CONSUMER.json,M,4,2026-05-01,2026-08-01,0,2,2026-08-24T10:33:00,2026-08-26,2026-08-26T08:44:53,dd2dd33863d22ad32f0eac42b6f124ced482478969ce0af35aa5571ad0d1339c
BCI_CONSTR,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0",EST.M........,M,385,1994-04-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5dc99b7cafe5c553dc5675c001a06c998dcd36a8513d38a1d599cdcf4c2de3f5
BCI_IDX,oecd,"OECD.SDD.STES,DSD_STES@DF_CLI,4.1",EST........,M,409,1992-04-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,f8ec8da3e157eb3204930c5156c49850397b42c89e7dc425c380c141ee213767
BCI_MANUF,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0",EST.M........,M,409,1992-04-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5dc99b7cafe5c553dc5675c001a06c998dcd36a8513d38a1d599cdcf4c2de3f5
BCI_RETAIL,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0",EST.M........,M,376,1995-01-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5dc99b7cafe5c553dc5675c001a06c998dcd36a8513d38a1d599cdcf4c2de3f5
BCI_SERV,oecd,"OECD.SDD.STES,DSD_STES@DF_BTS,4.0",EST.M........,M,288,2002-05-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5dc99b7cafe5c553dc5675c001a06c998dcd36a8513d38a1d599cdcf4c2de3f5
CCI,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0",EST........,M,403,1992-10-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5a94a3cd870ed93abcb61fa28fdca18d45e3dbd96f03cafcd886ff54cb1a5860
CCI_IDX,oecd,"OECD.SDD.STES,DSD_STES@DF_CLI,4.1",EST........,M,403,1992-10-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,f8ec8da3e157eb3204930c5156c49850397b42c89e7dc425c380c141ee213767
CONS_ECON_SIT,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0",EST........,M,406,1992-07-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5a94a3cd870ed93abcb61fa28fdca18d45e3dbd96f03cafcd886ff54cb1a5860
CONS_PRICE_EXP,oecd,"OECD.SDD.STES,DSD_STES@DF_CS,4.0",EST........,M,397,1993-04-01,2026-04-01,0,6,,2026-08-26,2026-08-26T08:44:53,5a94a3cd870ed93abcb61fa28fdca18d45e3dbd96f03cafcd886ff54cb1a5860
CPI,statee,IA002,queries/IA002_CPI.json,M,343,1998-01-01,2026-07-01,5,3,2026-08-06T14:36:00,2026-08-26,2026-08-26T08:44:53,d816c5b1346fad22430f01b20a4648283edbec748ac832c02054a1b74532e969
CPI_HOUSING,statee,IA002,queries/IA002_CPI.json,M,343,1998-01-01,2026-07-01,5,3,2026-08-06T14:36:00,2026-08-26,2026-08-26T08:44:53,d816c5b1346fad22430f01b20a4648283edbec748ac832c02054a1b74532e969
CPI_TRANSPORT,statee,IA002,queries/IA002_CPI.json,M,343,1998-01-01,2026-07-01,5,3,2026-08-06T14:36:00,2026-08-26,2026-08-26T08:44:53,d816c5b1346fad22430f01b20a4648283edbec748ac832c02054a1b74532e969
DEBT,statee,RR059,queries/RR059_DEBT.json,Q,105,2000-01-01,2026-01-01,3,4,2026-06-15T12:07:00,2026-08-26,2026-08-26T08:44:53,0b1b1008980c24e154954533a1c5db8e92de013e6b042ed1cd2cd02b6a293df5
EA10Y,ecb,FM,M.U2.EUR.4F.BB.U2_10Y.YLD,M,439,1990-01-01,2026-07-01,0,3,,2026-08-26,2026-08-26T08:44:53,0d048a0aa39d3e621041fe45367a90dd695965aa1aafe9a04f02fea77c3a6d31
